"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Nassau County, NY"	"36059"	"2017"	"2017"	"11 to 20 pounds"	"2"	62
	"Nassau County, NY"	"36059"	"2017"	"2017"	"21 to 30 pounds"	"3"	74
	"Nassau County, NY"	"36059"	"2017"	"2017"	"31 to 40 pounds"	"4"	37
	"Nassau County, NY"	"36059"	"2017"	"2017"	"41 to 98 pounds"	"5"	24
	"Nassau County, NY"	"36059"	"2018"	"2018"	"Less than 11 pounds"	"1"	45
	"Nassau County, NY"	"36059"	"2018"	"2018"	"11 to 20 pounds"	"2"	68
	"Nassau County, NY"	"36059"	"2018"	"2018"	"21 to 30 pounds"	"3"	64
	"Nassau County, NY"	"36059"	"2018"	"2018"	"31 to 40 pounds"	"4"	35
	"Nassau County, NY"	"36059"	"2018"	"2018"	"41 to 98 pounds"	"5"	15
	"Nassau County, NY"	"36059"	"2019"	"2019"	"Less than 11 pounds"	"1"	41
	"Nassau County, NY"	"36059"	"2019"	"2019"	"11 to 20 pounds"	"2"	71
	"Nassau County, NY"	"36059"	"2019"	"2019"	"21 to 30 pounds"	"3"	63
	"Nassau County, NY"	"36059"	"2019"	"2019"	"31 to 40 pounds"	"4"	24
	"Nassau County, NY"	"36059"	"2019"	"2019"	"41 to 98 pounds"	"5"	22
	"Nassau County, NY"	"36059"	"2020"	"2020"	"Less than 11 pounds"	"1"	39
	"Nassau County, NY"	"36059"	"2020"	"2020"	"11 to 20 pounds"	"2"	65
