Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,<15,White Hispanic,No PNC,8
2008,6b,15-17,White Hispanic,No PNC,42
2008,6b,18-19,White Hispanic,No PNC,66
2008,6b,20-24,White Hispanic,No PNC,205
2008,6b,25-29,White Hispanic,No PNC,194
2008,6b,30-34,White Hispanic,No PNC,120
2008,6b,35-39,White Hispanic,No PNC,70
2008,6b,40-44,White Hispanic,No PNC,17
2008,6b,45+,White Hispanic,No PNC,1
2008,6b,N.S.,White Hispanic,No PNC,1
2008,6b,Total,White Hispanic,PNC Start Unk,"1,257"
2008,6b,<15,White Hispanic,PNC Start Unk,7
2008,6b,15-17,White Hispanic,PNC Start Unk,41
2008,6b,18-19,White Hispanic,PNC Start Unk,78
2008,6b,20-24,White Hispanic,PNC Start Unk,293
2008,6b,25-29,White Hispanic,PNC Start Unk,344
2008,6b,30-34,White Hispanic,PNC Start Unk,276
2008,6b,35-39,White Hispanic,PNC Start Unk,154
2008,6b,40-44,White Hispanic,PNC Start Unk,55
2008,6b,45+,White Hispanic,PNC Start Unk,6
2008,6b,N.S.,White Hispanic,PNC Start Unk,3
2008,6b,Total,White Hispanic,PNC Unk,"1,651"
2008,6b,<15,White Hispanic,PNC Unk,3
2008,6b,15-17,White Hispanic,PNC Unk,64
2008,6b,18-19,White Hispanic,PNC Unk,134
2008,6b,20-24,White Hispanic,PNC Unk,455
2008,6b,25-29,White Hispanic,PNC Unk,445
2008,6b,30-34,White Hispanic,PNC Unk,319
2008,6b,35-39,White Hispanic,PNC Unk,189
2008,6b,40-44,White Hispanic,PNC Unk,35
2008,6b,45+,White Hispanic,PNC Unk,7
2008,6b,N.S.,White Hispanic,PNC Unk,0
2008,6b,Total,Black Hispanic,All,"5,279"
2008,6b,<15,Black Hispanic,All,15
2008,6b,15-17,Black Hispanic,All,224
2008,6b,18-19,Black Hispanic,All,444
2008,6b,20-24,Black Hispanic,All,"1,503"
2008,6b,25-29,Black Hispanic,All,"1,427"
2008,6b,30-34,Black Hispanic,All,985
2008,6b,35-39,Black Hispanic,All,518
2008,6b,40-44,Black Hispanic,All,154
2008,6b,45+,Black Hispanic,All,9
2008,6b,N.S.,Black Hispanic,All,0
2008,6b,Total,Black Hispanic,1st - 3rd Month,"3,049"
2008,6b,<15,Black Hispanic,1st - 3rd Month,4
2008,6b,15-17,Black Hispanic,1st - 3rd Month,92
2008,6b,18-19,Black Hispanic,1st - 3rd Month,210
2008,6b,20-24,Black Hispanic,1st - 3rd Month,820
2008,6b,25-29,Black Hispanic,1st - 3rd Month,877
2008,6b,30-34,Black Hispanic,1st - 3rd Month,627
2008,6b,35-39,Black Hispanic,1st - 3rd Month,312
2008,6b,40-44,Black Hispanic,1st - 3rd Month,100
2008,6b,45+,Black Hispanic,1st - 3rd Month,7
2008,6b,N.S.,Black Hispanic,1st - 3rd Month,0
2008,6b,Total,Black Hispanic,4th - 6th Month,"1,421"
2008,6b,<15,Black Hispanic,4th - 6th Month,6
2008,6b,15-17,Black Hispanic,4th - 6th Month,90
2008,6b,18-19,Black Hispanic,4th - 6th Month,145
2008,6b,20-24,Black Hispanic,4th - 6th Month,443
2008,6b,25-29,Black Hispanic,4th - 6th Month,352
2008,6b,30-34,Black Hispanic,4th - 6th Month,229
2008,6b,35-39,Black Hispanic,4th - 6th Month,119
2008,6b,40-44,Black Hispanic,4th - 6th Month,36
2008,6b,45+,Black Hispanic,4th - 6th Month,1
2008,6b,N.S.,Black Hispanic,4th - 6th Month,0
2008,6b,Total,Black Hispanic,7th - 9th Month,438
2008,6b,<15,Black Hispanic,7th - 9th Month,4
2008,6b,15-17,Black Hispanic,7th - 9th Month,23
2008,6b,18-19,Black Hispanic,7th - 9th Month,46
2008,6b,20-24,Black Hispanic,7th - 9th Month,144
2008,6b,25-29,Black Hispanic,7th - 9th Month,120
2008,6b,30-34,Black Hispanic,7th - 9th Month,50
2008,6b,35-39,Black Hispanic,7th - 9th Month,43
2008,6b,40-44,Black Hispanic,7th - 9th Month,7
2008,6b,45+,Black Hispanic,7th - 9th Month,1
2008,6b,N.S.,Black Hispanic,7th - 9th Month,0
2008,6b,Total,Black Hispanic,No PNC,78
2008,6b,<15,Black Hispanic,No PNC,0
2008,6b,15-17,Black Hispanic,No PNC,7
2008,6b,18-19,Black Hispanic,No PNC,10
2008,6b,20-24,Black Hispanic,No PNC,18
2008,6b,25-29,Black Hispanic,No PNC,20
2008,6b,30-34,Black Hispanic,No PNC,12
2008,6b,35-39,Black Hispanic,No PNC,9
2008,6b,40-44,Black Hispanic,No PNC,2
