Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,20-24,Other Hispanic,1st - 3rd Month,"1,370"
2008,6b,25-29,Other Hispanic,1st - 3rd Month,"1,681"
2008,6b,30-34,Other Hispanic,1st - 3rd Month,"1,405"
2008,6b,35-39,Other Hispanic,1st - 3rd Month,727
2008,6b,40-44,Other Hispanic,1st - 3rd Month,174
2008,6b,45+,Other Hispanic,1st - 3rd Month,4
2008,6b,N.S.,Other Hispanic,1st - 3rd Month,0
2008,6b,Total,Other Hispanic,4th - 6th Month,"2,941"
2008,6b,<15,Other Hispanic,4th - 6th Month,11
2008,6b,15-17,Other Hispanic,4th - 6th Month,141
2008,6b,18-19,Other Hispanic,4th - 6th Month,263
2008,6b,20-24,Other Hispanic,4th - 6th Month,867
2008,6b,25-29,Other Hispanic,4th - 6th Month,829
2008,6b,30-34,Other Hispanic,4th - 6th Month,495
2008,6b,35-39,Other Hispanic,4th - 6th Month,269
2008,6b,40-44,Other Hispanic,4th - 6th Month,61
2008,6b,45+,Other Hispanic,4th - 6th Month,5
2008,6b,N.S.,Other Hispanic,4th - 6th Month,0
2008,6b,Total,Other Hispanic,7th - 9th Month,558
2008,6b,<15,Other Hispanic,7th - 9th Month,3
2008,6b,15-17,Other Hispanic,7th - 9th Month,47
2008,6b,18-19,Other Hispanic,7th - 9th Month,76
2008,6b,20-24,Other Hispanic,7th - 9th Month,164
2008,6b,25-29,Other Hispanic,7th - 9th Month,137
2008,6b,30-34,Other Hispanic,7th - 9th Month,79
2008,6b,35-39,Other Hispanic,7th - 9th Month,36
2008,6b,40-44,Other Hispanic,7th - 9th Month,14
2008,6b,45+,Other Hispanic,7th - 9th Month,2
2008,6b,N.S.,Other Hispanic,7th - 9th Month,0
2008,6b,Total,Other Hispanic,No PNC,80
2008,6b,<15,Other Hispanic,No PNC,0
2008,6b,15-17,Other Hispanic,No PNC,3
2008,6b,18-19,Other Hispanic,No PNC,10
2008,6b,20-24,Other Hispanic,No PNC,21
2008,6b,25-29,Other Hispanic,No PNC,24
2008,6b,30-34,Other Hispanic,No PNC,17
2008,6b,35-39,Other Hispanic,No PNC,3
2008,6b,40-44,Other Hispanic,No PNC,2
2008,6b,45+,Other Hispanic,No PNC,0
2008,6b,N.S.,Other Hispanic,No PNC,0
2008,6b,Total,Other Hispanic,PNC Start Unk,345
2008,6b,<15,Other Hispanic,PNC Start Unk,0
2008,6b,15-17,Other Hispanic,PNC Start Unk,15
2008,6b,18-19,Other Hispanic,PNC Start Unk,27
2008,6b,20-24,Other Hispanic,PNC Start Unk,94
2008,6b,25-29,Other Hispanic,PNC Start Unk,83
2008,6b,30-34,Other Hispanic,PNC Start Unk,65
2008,6b,35-39,Other Hispanic,PNC Start Unk,48
2008,6b,40-44,Other Hispanic,PNC Start Unk,9
2008,6b,45+,Other Hispanic,PNC Start Unk,3
2008,6b,N.S.,Other Hispanic,PNC Start Unk,1
2008,6b,Total,Other Hispanic,PNC Unk,225
2008,6b,<15,Other Hispanic,PNC Unk,0
2008,6b,15-17,Other Hispanic,PNC Unk,16
2008,6b,18-19,Other Hispanic,PNC Unk,17
2008,6b,20-24,Other Hispanic,PNC Unk,57
2008,6b,25-29,Other Hispanic,PNC Unk,49
2008,6b,30-34,Other Hispanic,PNC Unk,47
2008,6b,35-39,Other Hispanic,PNC Unk,29
2008,6b,40-44,Other Hispanic,PNC Unk,9
2008,6b,45+,Other Hispanic,PNC Unk,1
2008,6b,N.S.,Other Hispanic,PNC Unk,0
2009,6b,Total,Total Births,All,"246,592"
2009,6b,<15,Total Births,All,207
2009,6b,15-17,Total Births,All,"4,687"
2009,6b,18-19,Total Births,All,"11,561"
2009,6b,20-24,Total Births,All,"49,540"
2009,6b,25-29,Total Births,All,"65,640"
2009,6b,30-34,Total Births,All,"66,605"
2009,6b,35-39,Total Births,All,"37,716"
2009,6b,40-44,Total Births,All,"9,777"
2009,6b,45+,Total Births,All,837
2009,6b,N.S.,Total Births,All,22
2009,6b,Total,Total Births,1st - 3rd Month,"167,503"
2009,6b,<15,Total Births,1st - 3rd Month,50
2009,6b,15-17,Total Births,1st - 3rd Month,"2,058"
2009,6b,18-19,Total Births,1st - 3rd Month,"5,998"
2009,6b,20-24,Total Births,1st - 3rd Month,"29,312"
2009,6b,25-29,Total Births,1st - 3rd Month,"45,164"
2009,6b,30-34,Total Births,1st - 3rd Month,"49,460"
2009,6b,35-39,Total Births,1st - 3rd Month,"27,920"
2009,6b,40-44,Total Births,1st - 3rd Month,"6,980"
2009,6b,45+,Total Births,1st - 3rd Month,560
2009,6b,N.S.,Total Births,1st - 3rd Month,1
2009,6b,Total,Total Births,4th - 6th Month,"48,324"
2009,6b,<15,Total Births,4th - 6th Month,84
2009,6b,15-17,Total Births,4th - 6th Month,"1,631"
2009,6b,18-19,Total Births,4th - 6th Month,"3,540"
2009,6b,20-24,Total Births,4th - 6th Month,"12,708"
2009,6b,25-29,Total Births,4th - 6th Month,"12,681"
2009,6b,30-34,Total Births,4th - 6th Month,"10,239"
2009,6b,35-39,Total Births,4th - 6th Month,"5,681"
2009,6b,40-44,Total Births,4th - 6th Month,"1,609"
2009,6b,45+,Total Births,4th - 6th Month,146
2009,6b,N.S.,Total Births,4th - 6th Month,5
2009,6b,Total,Total Births,7th - 9th Month,"10,925"
2009,6b,<15,Total Births,7th - 9th Month,36
2009,6b,15-17,Total Births,7th - 9th Month,450
2009,6b,18-19,Total Births,7th - 9th Month,889
2009,6b,20-24,Total Births,7th - 9th Month,"3,054"
2009,6b,25-29,Total Births,7th - 9th Month,"2,853"
2009,6b,30-34,Total Births,7th - 9th Month,"2,091"
2009,6b,35-39,Total Births,7th - 9th Month,"1,199"
2009,6b,40-44,Total Births,7th - 9th Month,325
2009,6b,45+,Total Births,7th - 9th Month,28
2009,6b,N.S.,Total Births,7th - 9th Month,0
2009,6b,Total,Total Births,No PNC,"1,765"
2009,6b,<15,Total Births,No PNC,15
2009,6b,15-17,Total Births,No PNC,77
2009,6b,18-19,Total Births,No PNC,129
2009,6b,20-24,Total Births,No PNC,506
2009,6b,25-29,Total Births,No PNC,435
2009,6b,30-34,Total Births,No PNC,327
2009,6b,35-39,Total Births,No PNC,200
2009,6b,40-44,Total Births,No PNC,70
2009,6b,45+,Total Births,No PNC,6
2009,6b,N.S.,Total Births,No PNC,0
2009,6b,Total,Total Births,PNC Start Unk,"11,192"
2009,6b,<15,Total Births,PNC Start Unk,18
2009,6b,15-17,Total Births,PNC Start Unk,307
2009,6b,18-19,Total Births,PNC Start Unk,639
2009,6b,20-24,Total Births,PNC Start Unk,"2,417"
2009,6b,25-29,Total Births,PNC Start Unk,"2,760"
2009,6b,30-34,Total Births,PNC Start Unk,"2,746"
2009,6b,35-39,Total Births,PNC Start Unk,"1,720"
2009,6b,40-44,Total Births,PNC Start Unk,507
2009,6b,45+,Total Births,PNC Start Unk,65
2009,6b,N.S.,Total Births,PNC Start Unk,13
2009,6b,Total,Total Births,PNC Unk,"6,883"
2009,6b,<15,Total Births,PNC Unk,4
2009,6b,15-17,Total Births,PNC Unk,164
2009,6b,18-19,Total Births,PNC Unk,366
2009,6b,20-24,Total Births,PNC Unk,"1,543"
2009,6b,25-29,Total Births,PNC Unk,"1,747"
2009,6b,30-34,Total Births,PNC Unk,"1,742"
2009,6b,35-39,Total Births,PNC Unk,996
2009,6b,40-44,Total Births,PNC Unk,286
2009,6b,45+,Total Births,PNC Unk,32
2009,6b,N.S.,Total Births,PNC Unk,3
2009,6b,Total,White Non-Hisp,All,"119,167"
2009,6b,<15,White Non-Hisp,All,23
2009,6b,15-17,White Non-Hisp,All,"1,065"
2009,6b,18-19,White Non-Hisp,All,"3,782"
2009,6b,20-24,White Non-Hisp,All,"20,075"
2009,6b,25-29,White Non-Hisp,All,"30,587"
2009,6b,30-34,White Non-Hisp,All,"36,683"
2009,6b,35-39,White Non-Hisp,All,"20,998"
2009,6b,40-44,White Non-Hisp,All,"5,429"
2009,6b,45+,White Non-Hisp,All,516
2009,6b,N.S.,White Non-Hisp,All,9
2009,6b,Total,White Non-Hisp,1st - 3rd Month,"90,244"
2009,6b,<15,White Non-Hisp,1st - 3rd Month,7
2009,6b,15-17,White Non-Hisp,1st - 3rd Month,515
2009,6b,18-19,White Non-Hisp,1st - 3rd Month,"2,280"
2009,6b,20-24,White Non-Hisp,1st - 3rd Month,"13,295"
2009,6b,25-29,White Non-Hisp,1st - 3rd Month,"23,294"
2009,6b,30-34,White Non-Hisp,1st - 3rd Month,"29,543"
2009,6b,35-39,White Non-Hisp,1st - 3rd Month,"16,755"
2009,6b,40-44,White Non-Hisp,1st - 3rd Month,"4,202"
2009,6b,45+,White Non-Hisp,1st - 3rd Month,353
2009,6b,N.S.,White Non-Hisp,1st - 3rd Month,0
2009,6b,Total,White Non-Hisp,4th - 6th Month,"17,970"
2009,6b,<15,White Non-Hisp,4th - 6th Month,11
2009,6b,15-17,White Non-Hisp,4th - 6th Month,370
2009,6b,18-19,White Non-Hisp,4th - 6th Month,"1,038"
2009,6b,20-24,White Non-Hisp,4th - 6th Month,"4,488"
2009,6b,25-29,White Non-Hisp,4th - 6th Month,"4,619"
2009,6b,30-34,White Non-Hisp,4th - 6th Month,"4,202"
2009,6b,35-39,White Non-Hisp,4th - 6th Month,"2,462"
2009,6b,40-44,White Non-Hisp,4th - 6th Month,693
2009,6b,45+,White Non-Hisp,4th - 6th Month,84
2009,6b,N.S.,White Non-Hisp,4th - 6th Month,3
2009,6b,Total,White Non-Hisp,7th - 9th Month,"2,890"
2009,6b,<15,White Non-Hisp,7th - 9th Month,3
2009,6b,15-17,White Non-Hisp,7th - 9th Month,82
2009,6b,18-19,White Non-Hisp,7th - 9th Month,191
2009,6b,20-24,White Non-Hisp,7th - 9th Month,837
2009,6b,25-29,White Non-Hisp,7th - 9th Month,767
2009,6b,30-34,White Non-Hisp,7th - 9th Month,563
2009,6b,35-39,White Non-Hisp,7th - 9th Month,336
2009,6b,40-44,White Non-Hisp,7th - 9th Month,97
2009,6b,45+,White Non-Hisp,7th - 9th Month,14
2009,6b,N.S.,White Non-Hisp,7th - 9th Month,0
2009,6b,Total,White Non-Hisp,No PNC,535
2009,6b,<15,White Non-Hisp,No PNC,1
2009,6b,15-17,White Non-Hisp,No PNC,9
2009,6b,18-19,White Non-Hisp,No PNC,28
2009,6b,20-24,White Non-Hisp,No PNC,140
2009,6b,25-29,White Non-Hisp,No PNC,131
2009,6b,30-34,White Non-Hisp,No PNC,120
2009,6b,35-39,White Non-Hisp,No PNC,74
2009,6b,40-44,White Non-Hisp,No PNC,29
2009,6b,45+,White Non-Hisp,No PNC,3
2009,6b,N.S.,White Non-Hisp,No PNC,0
2009,6b,Total,White Non-Hisp,PNC Start Unk,"4,717"
2009,6b,<15,White Non-Hisp,PNC Start Unk,0
2009,6b,15-17,White Non-Hisp,PNC Start Unk,61
2009,6b,18-19,White Non-Hisp,PNC Start Unk,157
2009,6b,20-24,White Non-Hisp,PNC Start Unk,825
2009,6b,25-29,White Non-Hisp,PNC Start Unk,"1,074"
2009,6b,30-34,White Non-Hisp,PNC Start Unk,"1,375"
2009,6b,35-39,White Non-Hisp,PNC Start Unk,894
2009,6b,40-44,White Non-Hisp,PNC Start Unk,282
2009,6b,45+,White Non-Hisp,PNC Start Unk,43
2009,6b,N.S.,White Non-Hisp,PNC Start Unk,6
2009,6b,Total,White Non-Hisp,PNC Unk,"2,811"
2009,6b,<15,White Non-Hisp,PNC Unk,1
2009,6b,15-17,White Non-Hisp,PNC Unk,28
2009,6b,18-19,White Non-Hisp,PNC Unk,88
2009,6b,20-24,White Non-Hisp,PNC Unk,490
2009,6b,25-29,White Non-Hisp,PNC Unk,702
2009,6b,30-34,White Non-Hisp,PNC Unk,880
2009,6b,35-39,White Non-Hisp,PNC Unk,477
2009,6b,40-44,White Non-Hisp,PNC Unk,126
2009,6b,45+,White Non-Hisp,PNC Unk,19
2009,6b,N.S.,White Non-Hisp,PNC Unk,0
2009,6b,Total,Black Non-Hisp,All,"39,864"
2009,6b,<15,Black Non-Hisp,All,60
2009,6b,15-17,Black Non-Hisp,All,"1,310"
2009,6b,18-19,Black Non-Hisp,All,"2,891"
2009,6b,20-24,Black Non-Hisp,All,"9,914"
2009,6b,25-29,Black Non-Hisp,All,"10,377"
2009,6b,30-34,Black Non-Hisp,All,"8,475"
2009,6b,35-39,Black Non-Hisp,All,"5,166"
2009,6b,40-44,Black Non-Hisp,All,"1,547"
2009,6b,45+,Black Non-Hisp,All,122
2009,6b,N.S.,Black Non-Hisp,All,2
2009,6b,Total,Black Non-Hisp,1st - 3rd Month,"22,143"
2009,6b,<15,Black Non-Hisp,1st - 3rd Month,8
2009,6b,15-17,Black Non-Hisp,1st - 3rd Month,490
2009,6b,18-19,Black Non-Hisp,1st - 3rd Month,"1,278"
2009,6b,20-24,Black Non-Hisp,1st - 3rd Month,"5,016"
2009,6b,25-29,Black Non-Hisp,1st - 3rd Month,"6,045"
2009,6b,30-34,Black Non-Hisp,1st - 3rd Month,"5,172"
2009,6b,35-39,Black Non-Hisp,1st - 3rd Month,"3,139"
2009,6b,40-44,Black Non-Hisp,1st - 3rd Month,913
2009,6b,45+,Black Non-Hisp,1st - 3rd Month,82
2009,6b,N.S.,Black Non-Hisp,1st - 3rd Month,0
2009,6b,Total,Black Non-Hisp,4th - 6th Month,"9,753"
2009,6b,<15,Black Non-Hisp,4th - 6th Month,23
2009,6b,15-17,Black Non-Hisp,4th - 6th Month,474
2009,6b,18-19,Black Non-Hisp,4th - 6th Month,974
2009,6b,20-24,Black Non-Hisp,4th - 6th Month,"2,761"
2009,6b,25-29,Black Non-Hisp,4th - 6th Month,"2,345"
2009,6b,30-34,Black Non-Hisp,4th - 6th Month,"1,745"
2009,6b,35-39,Black Non-Hisp,4th - 6th Month,"1,066"
2009,6b,40-44,Black Non-Hisp,4th - 6th Month,347
2009,6b,45+,Black Non-Hisp,4th - 6th Month,18
2009,6b,N.S.,Black Non-Hisp,4th - 6th Month,0
2009,6b,Total,Black Non-Hisp,7th - 9th Month,"3,185"
2009,6b,<15,Black Non-Hisp,7th - 9th Month,13
2009,6b,15-17,Black Non-Hisp,7th - 9th Month,156
2009,6b,18-19,Black Non-Hisp,7th - 9th Month,272
2009,6b,20-24,Black Non-Hisp,7th - 9th Month,832
2009,6b,25-29,Black Non-Hisp,7th - 9th Month,773
2009,6b,30-34,Black Non-Hisp,7th - 9th Month,638
2009,6b,35-39,Black Non-Hisp,7th - 9th Month,385
2009,6b,40-44,Black Non-Hisp,7th - 9th Month,109
2009,6b,45+,Black Non-Hisp,7th - 9th Month,7
2009,6b,N.S.,Black Non-Hisp,7th - 9th Month,0
2009,6b,Total,Black Non-Hisp,No PNC,576
2009,6b,<15,Black Non-Hisp,No PNC,6
2009,6b,15-17,Black Non-Hisp,No PNC,28
2009,6b,18-19,Black Non-Hisp,No PNC,46
2009,6b,20-24,Black Non-Hisp,No PNC,159
2009,6b,25-29,Black Non-Hisp,No PNC,134
2009,6b,30-34,Black Non-Hisp,No PNC,102
2009,6b,35-39,Black Non-Hisp,No PNC,76
2009,6b,40-44,Black Non-Hisp,No PNC,24
2009,6b,45+,Black Non-Hisp,No PNC,1
2009,6b,N.S.,Black Non-Hisp,No PNC,0
2009,6b,Total,Black Non-Hisp,PNC Start Unk,"2,583"
2009,6b,<15,Black Non-Hisp,PNC Start Unk,9
2009,6b,15-17,Black Non-Hisp,PNC Start Unk,106
2009,6b,18-19,Black Non-Hisp,PNC Start Unk,209
2009,6b,20-24,Black Non-Hisp,PNC Start Unk,718
2009,6b,25-29,Black Non-Hisp,PNC Start Unk,649
2009,6b,30-34,Black Non-Hisp,PNC Start Unk,480
2009,6b,35-39,Black Non-Hisp,PNC Start Unk,300
2009,6b,40-44,Black Non-Hisp,PNC Start Unk,100
2009,6b,45+,Black Non-Hisp,PNC Start Unk,10
2009,6b,N.S.,Black Non-Hisp,PNC Start Unk,2
2009,6b,Total,Black Non-Hisp,PNC Unk,"1,624"
2009,6b,<15,Black Non-Hisp,PNC Unk,1
2009,6b,15-17,Black Non-Hisp,PNC Unk,56
2009,6b,18-19,Black Non-Hisp,PNC Unk,112
2009,6b,20-24,Black Non-Hisp,PNC Unk,428
2009,6b,25-29,Black Non-Hisp,PNC Unk,431
2009,6b,30-34,Black Non-Hisp,PNC Unk,338
2009,6b,35-39,Black Non-Hisp,PNC Unk,200
2009,6b,40-44,Black Non-Hisp,PNC Unk,54
2009,6b,45+,Black Non-Hisp,PNC Unk,4
2009,6b,N.S.,Black Non-Hisp,PNC Unk,0
2009,6b,Total,Other Non-Hisp,All,"28,086"
2009,6b,<15,Other Non-Hisp,All,12
2009,6b,15-17,Other Non-Hisp,All,208
2009,6b,18-19,Other Non-Hisp,All,557
2009,6b,20-24,Other Non-Hisp,All,"4,063"
2009,6b,25-29,Other Non-Hisp,All,"8,351"
2009,6b,30-34,Other Non-Hisp,All,"8,899"
2009,6b,35-39,Other Non-Hisp,All,"4,833"
2009,6b,40-44,Other Non-Hisp,All,"1,072"
2009,6b,45+,Other Non-Hisp,All,90
2009,6b,N.S.,Other Non-Hisp,All,1
2009,6b,Total,Other Non-Hisp,1st - 3rd Month,"19,073"
2009,6b,<15,Other Non-Hisp,1st - 3rd Month,4
2009,6b,15-17,Other Non-Hisp,1st - 3rd Month,71
2009,6b,18-19,Other Non-Hisp,1st - 3rd Month,274
2009,6b,20-24,Other Non-Hisp,1st - 3rd Month,"2,321"
2009,6b,25-29,Other Non-Hisp,1st - 3rd Month,"5,573"
2009,6b,30-34,Other Non-Hisp,1st - 3rd Month,"6,472"
2009,6b,35-39,Other Non-Hisp,1st - 3rd Month,"3,552"
2009,6b,40-44,Other Non-Hisp,1st - 3rd Month,744
2009,6b,45+,Other Non-Hisp,1st - 3rd Month,62
2009,6b,N.S.,Other Non-Hisp,1st - 3rd Month,0
2009,6b,Total,Other Non-Hisp,4th - 6th Month,"5,819"
2009,6b,<15,Other Non-Hisp,4th - 6th Month,3
2009,6b,15-17,Other Non-Hisp,4th - 6th Month,84
2009,6b,18-19,Other Non-Hisp,4th - 6th Month,174
2009,6b,20-24,Other Non-Hisp,4th - 6th Month,"1,129"
2009,6b,25-29,Other Non-Hisp,4th - 6th Month,"1,844"
2009,6b,30-34,Other Non-Hisp,4th - 6th Month,"1,587"
2009,6b,35-39,Other Non-Hisp,4th - 6th Month,785
2009,6b,40-44,Other Non-Hisp,4th - 6th Month,198
2009,6b,45+,Other Non-Hisp,4th - 6th Month,15
2009,6b,N.S.,Other Non-Hisp,4th - 6th Month,0
2009,6b,Total,Other Non-Hisp,7th - 9th Month,"1,412"
2009,6b,<15,Other Non-Hisp,7th - 9th Month,3
2009,6b,15-17,Other Non-Hisp,7th - 9th Month,24
2009,6b,18-19,Other Non-Hisp,7th - 9th Month,63
2009,6b,20-24,Other Non-Hisp,7th - 9th Month,330
2009,6b,25-29,Other Non-Hisp,7th - 9th Month,446
2009,6b,30-34,Other Non-Hisp,7th - 9th Month,334
2009,6b,35-39,Other Non-Hisp,7th - 9th Month,158
2009,6b,40-44,Other Non-Hisp,7th - 9th Month,51
2009,6b,45+,Other Non-Hisp,7th - 9th Month,3
2009,6b,N.S.,Other Non-Hisp,7th - 9th Month,0
2009,6b,Total,Other Non-Hisp,No PNC,133
2009,6b,<15,Other Non-Hisp,No PNC,0
2009,6b,15-17,Other Non-Hisp,No PNC,6
2009,6b,18-19,Other Non-Hisp,No PNC,4
2009,6b,20-24,Other Non-Hisp,No PNC,30
2009,6b,25-29,Other Non-Hisp,No PNC,38
2009,6b,30-34,Other Non-Hisp,No PNC,31
2009,6b,35-39,Other Non-Hisp,No PNC,15
2009,6b,40-44,Other Non-Hisp,No PNC,8
2009,6b,45+,Other Non-Hisp,No PNC,1
2009,6b,N.S.,Other Non-Hisp,No PNC,0
2009,6b,Total,Other Non-Hisp,PNC Start Unk,"1,164"
2009,6b,<15,Other Non-Hisp,PNC Start Unk,2
2009,6b,15-17,Other Non-Hisp,PNC Start Unk,12
2009,6b,18-19,Other Non-Hisp,PNC Start Unk,25
2009,6b,20-24,Other Non-Hisp,PNC Start Unk,175
2009,6b,25-29,Other Non-Hisp,PNC Start Unk,338
2009,6b,30-34,Other Non-Hisp,PNC Start Unk,331
2009,6b,35-39,Other Non-Hisp,PNC Start Unk,230
2009,6b,40-44,Other Non-Hisp,PNC Start Unk,44
2009,6b,45+,Other Non-Hisp,PNC Start Unk,6
2009,6b,N.S.,Other Non-Hisp,PNC Start Unk,1
2009,6b,Total,Other Non-Hisp,PNC Unk,485
2009,6b,<15,Other Non-Hisp,PNC Unk,0
2009,6b,15-17,Other Non-Hisp,PNC Unk,11
2009,6b,18-19,Other Non-Hisp,PNC Unk,17
2009,6b,20-24,Other Non-Hisp,PNC Unk,78
2009,6b,25-29,Other Non-Hisp,PNC Unk,112
2009,6b,30-34,Other Non-Hisp,PNC Unk,144
2009,6b,35-39,Other Non-Hisp,PNC Unk,93
2009,6b,40-44,Other Non-Hisp,PNC Unk,27
2009,6b,45+,Other Non-Hisp,PNC Unk,3
2009,6b,N.S.,Other Non-Hisp,PNC Unk,0
2009,6b,Total,White Hispanic,All,"43,397"
2009,6b,<15,White Hispanic,All,86
2009,6b,15-17,White Hispanic,All,"1,535"
2009,6b,18-19,White Hispanic,All,"3,166"
2009,6b,20-24,White Hispanic,All,"11,223"
2009,6b,25-29,White Hispanic,All,"11,914"
2009,6b,30-34,White Hispanic,All,"9,195"
2009,6b,35-39,White Hispanic,All,"4,927"
2009,6b,40-44,White Hispanic,All,"1,263"
2009,6b,45+,White Hispanic,All,84
2009,6b,N.S.,White Hispanic,All,4
2009,6b,Total,White Hispanic,1st - 3rd Month,"26,491"
2009,6b,<15,White Hispanic,1st - 3rd Month,26
2009,6b,15-17,White Hispanic,1st - 3rd Month,725
2009,6b,18-19,White Hispanic,1st - 3rd Month,"1,575"
2009,6b,20-24,White Hispanic,1st - 3rd Month,"6,347"
2009,6b,25-29,White Hispanic,1st - 3rd Month,"7,519"
2009,6b,30-34,White Hispanic,1st - 3rd Month,"6,098"
2009,6b,35-39,White Hispanic,1st - 3rd Month,"3,332"
2009,6b,40-44,White Hispanic,1st - 3rd Month,820
2009,6b,45+,White Hispanic,1st - 3rd Month,49
2009,6b,N.S.,White Hispanic,1st - 3rd Month,0
2009,6b,Total,White Hispanic,4th - 6th Month,"10,663"
2009,6b,<15,White Hispanic,4th - 6th Month,35
2009,6b,15-17,White Hispanic,4th - 6th Month,496
2009,6b,18-19,White Hispanic,4th - 6th Month,995
2009,6b,20-24,White Hispanic,4th - 6th Month,"3,101"
2009,6b,25-29,White Hispanic,4th - 6th Month,"2,801"
2009,6b,30-34,White Hispanic,4th - 6th Month,"1,958"
2009,6b,35-39,White Hispanic,4th - 6th Month,974
2009,6b,40-44,White Hispanic,4th - 6th Month,278
2009,6b,45+,White Hispanic,4th - 6th Month,23
2009,6b,N.S.,White Hispanic,4th - 6th Month,2
2009,6b,Total,White Hispanic,7th - 9th Month,"2,482"
2009,6b,<15,White Hispanic,7th - 9th Month,13
2009,6b,15-17,White Hispanic,7th - 9th Month,137
2009,6b,18-19,White Hispanic,7th - 9th Month,252
2009,6b,20-24,White Hispanic,7th - 9th Month,757
2009,6b,25-29,White Hispanic,7th - 9th Month,642
2009,6b,30-34,White Hispanic,7th - 9th Month,397
2009,6b,35-39,White Hispanic,7th - 9th Month,227
2009,6b,40-44,White Hispanic,7th - 9th Month,54
2009,6b,45+,White Hispanic,7th - 9th Month,3
2009,6b,N.S.,White Hispanic,7th - 9th Month,0
2009,6b,Total,White Hispanic,No PNC,401
2009,6b,<15,White Hispanic,No PNC,5
2009,6b,15-17,White Hispanic,No PNC,25
2009,6b,18-19,White Hispanic,No PNC,38
2009,6b,20-24,White Hispanic,No PNC,134
2009,6b,25-29,White Hispanic,No PNC,106
2009,6b,30-34,White Hispanic,No PNC,55
2009,6b,35-39,White Hispanic,No PNC,30
2009,6b,40-44,White Hispanic,No PNC,7
2009,6b,45+,White Hispanic,No PNC,1
2009,6b,N.S.,White Hispanic,No PNC,0
2009,6b,Total,White Hispanic,PNC Start Unk,"2,108"
2009,6b,<15,White Hispanic,PNC Start Unk,5
2009,6b,15-17,White Hispanic,PNC Start Unk,103
2009,6b,18-19,White Hispanic,PNC Start Unk,199
2009,6b,20-24,White Hispanic,PNC Start Unk,543
2009,6b,25-29,White Hispanic,PNC Start Unk,522
2009,6b,30-34,White Hispanic,PNC Start Unk,441
2009,6b,35-39,White Hispanic,PNC Start Unk,226
2009,6b,40-44,White Hispanic,PNC Start Unk,63
2009,6b,45+,White Hispanic,PNC Start Unk,4
2009,6b,N.S.,White Hispanic,PNC Start Unk,2
2009,6b,Total,White Hispanic,PNC Unk,"1,252"
2009,6b,<15,White Hispanic,PNC Unk,2
2009,6b,15-17,White Hispanic,PNC Unk,49
2009,6b,18-19,White Hispanic,PNC Unk,107
2009,6b,20-24,White Hispanic,PNC Unk,341
2009,6b,25-29,White Hispanic,PNC Unk,324
2009,6b,30-34,White Hispanic,PNC Unk,246
2009,6b,35-39,White Hispanic,PNC Unk,138
2009,6b,40-44,White Hispanic,PNC Unk,41
2009,6b,45+,White Hispanic,PNC Unk,4
2009,6b,N.S.,White Hispanic,PNC Unk,0
2009,6b,Total,Black Hispanic,All,"4,818"
2009,6b,<15,Black Hispanic,All,10
2009,6b,15-17,Black Hispanic,All,210
2009,6b,18-19,Black Hispanic,All,360
2009,6b,20-24,Black Hispanic,All,"1,393"
2009,6b,25-29,Black Hispanic,All,"1,261"
2009,6b,30-34,Black Hispanic,All,913
2009,6b,35-39,Black Hispanic,All,521
2009,6b,40-44,Black Hispanic,All,137
2009,6b,45+,Black Hispanic,All,12
2009,6b,N.S.,Black Hispanic,All,1
2009,6b,Total,Black Hispanic,1st - 3rd Month,"2,804"
2009,6b,<15,Black Hispanic,1st - 3rd Month,2
2009,6b,15-17,Black Hispanic,1st - 3rd Month,100
2009,6b,18-19,Black Hispanic,1st - 3rd Month,172
2009,6b,20-24,Black Hispanic,1st - 3rd Month,751
2009,6b,25-29,Black Hispanic,1st - 3rd Month,772
2009,6b,30-34,Black Hispanic,1st - 3rd Month,601
2009,6b,35-39,Black Hispanic,1st - 3rd Month,313
2009,6b,40-44,Black Hispanic,1st - 3rd Month,86
2009,6b,45+,Black Hispanic,1st - 3rd Month,7
2009,6b,N.S.,Black Hispanic,1st - 3rd Month,0
2009,6b,Total,Black Hispanic,4th - 6th Month,"1,157"
2009,6b,<15,Black Hispanic,4th - 6th Month,5
2009,6b,15-17,Black Hispanic,4th - 6th Month,67
2009,6b,18-19,Black Hispanic,4th - 6th Month,119
2009,6b,20-24,Black Hispanic,4th - 6th Month,355
2009,6b,25-29,Black Hispanic,4th - 6th Month,284
2009,6b,30-34,Black Hispanic,4th - 6th Month,172
2009,6b,35-39,Black Hispanic,4th - 6th Month,124
2009,6b,40-44,Black Hispanic,4th - 6th Month,26
2009,6b,45+,Black Hispanic,4th - 6th Month,5
2009,6b,N.S.,Black Hispanic,4th - 6th Month,0
2009,6b,Total,Black Hispanic,7th - 9th Month,357
2009,6b,<15,Black Hispanic,7th - 9th Month,1
2009,6b,15-17,Black Hispanic,7th - 9th Month,20
2009,6b,18-19,Black Hispanic,7th - 9th Month,32
2009,6b,20-24,Black Hispanic,7th - 9th Month,135
2009,6b,25-29,Black Hispanic,7th - 9th Month,74
2009,6b,30-34,Black Hispanic,7th - 9th Month,58
2009,6b,35-39,Black Hispanic,7th - 9th Month,29
2009,6b,40-44,Black Hispanic,7th - 9th Month,8
2009,6b,45+,Black Hispanic,7th - 9th Month,0
