Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	1599
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	1573
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	1503
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	1575
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	1499
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	1603
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2016	2016	28
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2017	2017	19
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2019	2019	14
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2021	2021	15
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	583
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	551
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	605
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	610
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	610
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	681
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	146
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	115
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	155
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	152
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	137
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	173
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	1778
